Date,Close/Last,Volume,Open,High,Low
08/25/2021,$67.5442,7867116,$66.6797,$67.8184,$66.1572
08/24/2021,$66.6217,6857682,$65.3443,$66.7765,$65.1959
08/23/2021,$65.1379,6007436,$64.8992,$65.4669,$64.6863
08/20/2021,$64.5444,6356677,$64.2476,$64.9444,$63.9315
08/19/2021,$64.1379,10805750,$64.5121,$65.0411,$63.609
08/18/2021,$65.4217,6496462,$65.2089,$66.7507,$65.0024
08/17/2021,$65.5572,8177375,$66.1507,$66.6217,$64.7444
08/16/2021,$66.6733,6919442,$67.241,$67.2861,$65.9572
08/13/2021,$67.6861,5619902,$68.7054,$68.7828,$67.4668
08/12/2021,$68.7183,6400312,$68.5054,$69.1763,$67.8926
08/11/2021,$68.4087,8305138,$68.5183,$68.5183,$66.9765
08/10/2021,$68.4345,8056071,$66.97,$68.5957,$66.5765
08/09/2021,$66.9055,7954709,$66.8088,$67.2667,$65.8217
08/06/2021,$67.4281,10988170,$66.6797,$67.9055,$66.6797
08/05/2021,$66.4604,8130781,$66.4475,$67.5055,$66.1378
08/04/2021,$66.3894,14144330,$65.6798,$66.7378,$65.454
08/03/2021,$66.4862,14440020,$64.6411,$66.5765,$63.2928
08/02/2021,$64.8992,24885500,$67.4023,$69.1634,$64.7906
07/30/2021,$66.8346,1250000,$67.9184,$68.228,$66.6797
07/29/2021,$68.5893,6784558,$68.0732,$69.0538,$67.5571
07/28/2021,$67.7635,8571033,$67.8668,$69.5699,$67.299
07/27/2021,$67.5055,14930538,$68.7957,$69.5183,$66.0604
07/26/2021,$66.6797,6728613,$65.3379,$66.783,$65.183
07/23/2021,$65.5959,4722409,$66.0604,$66.4733,$65.183
07/22/2021,$65.5443,5427873,$67.3507,$67.4023,$65.5443
07/21/2021,$67.5055,8440719,$66.0088,$67.6603,$65.9056
07/20/2021,$65.5443,9390364,$61.9832,$65.7508,$61.88
07/19/2021,$61.9316,12362151,$62.9122,$63.1703,$61.0027
07/16/2021,$64.7702,5695470,$66.0604,$66.4217,$64.6153
07/15/2021,$65.854,6423854,$65.4927,$66.6797,$64.8734
07/14/2021,$66.112,5588733,$66.4733,$66.9894,$65.6475
07/13/2021,$66.5249,4926444,$67.5571,$67.5571,$66.4733
07/12/2021,$67.6603,6969833,$67.4023,$67.7893,$66.5765
07/09/2021,$67.9184,5165288,$67.1442,$68.0732,$66.783
07/08/2021,$66.4217,6727848,$65.6991,$66.783,$65.0798
07/07/2021,$66.9894,7632564,$66.4733,$67.4797,$65.7508
07/06/2021,$66.6797,8829845,$68.5377,$68.7441,$66.1636
07/02/2021,$68.9506,4149986,$69.8795,$69.8795,$68.6925
07/01/2021,$69.5699,5836633,$70.086,$70.344,$68.9506
06/30/2021,$69.4667,8568975,$67.8668,$69.8021,$67.3507
06/29/2021,$67.5571,8649645,$67.4023,$68.2796,$66.8862
06/28/2021,$66.5249,7723448,$67.9184,$67.97,$66.0088
06/25/2021,$67.9184,4264449,$67.9184,$68.3312,$67.6087
06/24/2021,$67.8668,5977556,$67.4023,$68.1248,$66.6797
06/23/2021,$66.8346,5459693,$67.1958,$68.0732,$66.783
06/22/2021,$67.2474,4783573,$67.7119,$68.099,$66.783
06/21/2021,$68.0732,6744261,$66.5249,$68.0732,$66.3701
06/18/2021,$65.9572,10258084,$66.2669,$67.1958,$65.8024
06/17/2021,$67.0926,9626679,$69.2086,$69.7247,$66.6281
06/16/2021,$69.3634,8766406,$69.6731,$70.4472,$68.5893
06/15/2021,$69.8795,4753236,$69.415,$70.0344,$68.6925
06/14/2021,$69.5183,5678223,$71.1182,$71.3762,$69.2086
06/11/2021,$70.6537,5295661,$70.4472,$71.1182,$70.0344
06/10/2021,$70.344,6229850,$71.273,$71.5827,$70.1376
06/09/2021,$70.8601,6970965,$71.0666,$71.273,$70.5505
06/08/2021,$71.7375,5515246,$72.0987,$72.1762,$70.8085
06/07/2021,$71.7891,4668638,$72.2536,$72.589,$71.531
06/04/2021,$72.0471,8008895,$73.0793,$73.2858,$71.531
06/03/2021,$72.7181,7895478,$72.202,$74.1631,$71.9439
06/02/2021,$72.7181,4992106,$73.1826,$73.1826,$72.3052
06/01/2021,$73.0277,6284615,$73.4406,$74.0083,$72.7697
05/28/2021,$72.5632,9071486,$73.7503,$74.0083,$72.4084
05/27/2021,$74.0599,23073575,$70.1892,$74.318,$70.1376
05/26/2021,$69.157,7533709,$67.7119,$69.286,$67.299
05/25/2021,$67.7119,5916213,$68.1248,$68.5893,$67.6087
05/24/2021,$68.0216,4876594,$68.5893,$68.6925,$67.7119
05/21/2021,$68.2796,6665009,$67.6603,$68.5377,$67.3507
05/20/2021,$67.4023,5809333,$67.5571,$67.6541,$66.6797
05/19/2021,$67.5571,7427025,$66.5765,$67.6087,$66.0088
05/18/2021,$66.9378,6115793,$68.0216,$68.4861,$66.9378
05/17/2021,$67.8668,9537731,$68.2796,$68.8473,$67.7119
05/14/2021,$68.4345,6334675,$67.7119,$68.6409,$67.248
05/13/2021,$66.9378,8197854,$66.0604,$67.299,$65.6475
05/12/2021,$66.1636,8856213,$67.5055,$67.7635,$65.9056
05/11/2021,$67.5571,8501530,$68.0732,$68.5893,$66.783
05/10/2021,$68.8989,8195256,$68.6925,$70.086,$68.6409
05/07/2021,$68.6409,6735084,$67.9184,$68.8473,$67.4539
05/06/2021,$68.1764,7847154,$68.228,$68.6925,$67.2474
05/05/2021,$68.1764,4431048,$67.9184,$68.5893,$67.5571
05/04/2021,$67.7119,9692273,$68.8473,$69.0796,$67.4539
05/03/2021,$69.415,7934061,$68.3312,$69.8279,$67.97
04/30/2021,$67.7119,6237443,$67.9184,$68.8989,$67.5055
04/29/2021,$68.1764,6894700,$68.0216,$68.5893,$67.5055
04/28/2021,$68.1248,8261924,$68.7957,$68.8989,$67.8668
04/27/2021,$69.6215,18721875,$69.6731,$69.8795,$66.6281
04/26/2021,$70.0344,11722363,$70.344,$72.2536,$69.9311
04/23/2021,$69.9311,5895753,$69.6731,$70.2408,$68.9506
04/22/2021,$69.2086,6575970,$68.8989,$70.5763,$68.5377
04/21/2021,$68.8989,6201010,$66.7313,$69.0538,$65.9056
04/20/2021,$67.4023,7682091,$69.2086,$69.2086,$66.5765
04/19/2021,$69.4667,5609470,$68.7441,$69.5183,$67.97
04/16/2021,$69.1054,6253055,$70.344,$70.6021,$68.8989
04/15/2021,$69.9311,6360223,$70.8601,$70.9633,$69.3634
04/14/2021,$70.6021,8079874,$69.3118,$71.1698,$69.2602
04/13/2021,$69.3634,6402981,$69.7247,$69.8795,$68.4345
04/12/2021,$70.1376,5259619,$70.2408,$70.6021,$69.5183
04/09/2021,$70.1892,7905746,$69.6731,$71.3762,$69.2602
04/08/2021,$69.415,6864873,$68.4345,$69.6731,$67.5571
04/07/2021,$69.1054,5220678,$69.157,$69.8279,$68.4345
04/06/2021,$69.157,5006528,$69.4667,$69.6731,$69.0022
04/05/2021,$69.4667,6342365,$69.5183,$70.0086,$69.0022
04/01/2021,$68.5377,7397978,$68.2796,$68.9506,$67.8668
03/31/2021,$67.7635,7823255,$69.0538,$69.286,$67.7635
03/30/2021,$68.6409,6615631,$66.9894,$68.9506,$66.5765
03/29/2021,$66.8346,6720366,$66.6797,$67.3507,$65.9572
03/26/2021,$67.041,7565583,$66.8346,$67.7635,$65.5959
03/25/2021,$66.3185,9173993,$63.996,$66.7313,$63.1187
03/24/2021,$64.5121,7759188,$65.854,$67.1958,$64.5121
03/23/2021,$65.3379,8206894,$66.8862,$68.0216,$64.7702
03/22/2021,$67.7635,6598634,$67.9184,$68.3312,$66.7313
03/19/2021,$68.228,8559004,$68.1248,$68.8989,$66.9894
03/18/2021,$68.3829,7970138,$70.1376,$70.6537,$68.0866
03/17/2021,$70.2408,9903389,$68.1248,$70.2408,$67.7377
03/16/2021,$67.8668,9307029,$68.7957,$68.8989,$67.4539
03/15/2021,$68.8989,13954413,$65.7508,$68.9506,$65.6733
03/12/2021,$64.925,16818988,$63.1703,$65.1191,$63.1187
03/11/2021,$63.3251,38225663,$65.4927,$66.3701,$61.6736
03/10/2021,$68.3829,27528800,$70.4472,$70.9117,$66.6797
03/09/2021,$72.2536,14308463,$72.7697,$74.3954,$71.3762
03/08/2021,$73.1309,17964700,$73.3374,$74.0083,$71.273
03/05/2021,$70.1892,13121938,$71.2214,$71.273,$67.8151
03/04/2021,$70.0344,20820213,$71.6343,$72.9245,$68.0216
03/03/2021,$69.3634,14696538,$67.5571,$70.2666,$67.3507
03/02/2021,$66.9894,9650679,$67.8668,$68.3829,$66.9378
03/01/2021,$67.6603,9754704,$66.6797,$68.5893,$66.0088
02/26/2021,$64.7186,11091225,$65.4411,$66.2669,$64.0476
